Timestamp,Length,Protocol
1734275115.009547,66,TCP
1734275115.010633,4410,DATA
1734275115.011549,4410,DATA
1734275115.011555,66,TCP
1734275115.012363,4410,DATA
1734275115.012362,66,TCP
1734275115.013363,4410,DATA
1734275115.013362,66,TCP
1734275115.014872,4410,DATA
1734275115.014876,66,TCP
1734275115.015102,66,TCP
1734275115.015568,4410,DATA
1734275115.017696,4410,DATA
1734275115.017695,66,TCP
1734275115.017695,66,TCP
1734275115.019723,4410,DATA
1734275115.021519,4410,DATA
1734275115.023489,4410,DATA
1734275115.025416,4410,DATA
1734275115.026445,4410,DATA
1734275115.027862,4410,DATA
1734275115.028758,4410,DATA
1734275115.029698,4410,DATA
1734275115.030593,4410,DATA
1734275115.032537,4410,DATA
1734275115.034617,4410,DATA
1734275115.036557,4410,DATA
1734275115.038023,4410,DATA
1734275115.039411,4410,DATA
1734275115.03935,66,TCP
1734275115.039351,66,TCP
1734275115.040282,4410,DATA
1734275115.040825,66,TCP
1734275115.040826,66,TCP
1734275115.042125,4410,DATA
1734275115.042132,66,TCP
1734275115.042876,2962,DATA
1734275115.043141,66,TCP
1734275115.043142,66,TCP
1734275115.043464,4410,DATA
1734275115.045357,4410,DATA
1734275115.045284,66,TCP
1734275115.046884,5858,DATA
1734275115.046776,66,TCP
1734275115.046777,66,TCP
1734275115.046778,66,TCP
1734275115.048339,5858,DATA
1734275115.050241,5858,DATA
1734275115.050262,66,TCP
1734275115.05139,5858,DATA
1734275115.052389,66,TCP
1734275115.052431,5858,DATA
1734275115.05239,66,TCP
1734275115.053848,5858,DATA
1734275115.055235,5858,DATA
1734275115.055121,66,TCP
1734275115.05635,5858,DATA
1734275115.056348,66,TCP
1734275115.057474,5858,DATA
1734275115.057473,66,TCP
1734275115.05866,2962,DATA
1734275115.058652,66,TCP
1734275115.059735,5858,DATA
1734275115.060974,5858,DATA
1734275115.060966,66,TCP
1734275115.060967,66,TCP
1734275115.062577,5858,DATA
1734275115.062632,66,TCP
1734275115.06408,5858,DATA
1734275115.064079,66,TCP
1734275115.065044,5858,DATA
1734275115.066086,66,TCP
1734275115.067203,5858,DATA
1734275115.068007,66,TCP
1734275115.069451,5858,DATA
1734275115.069682,66,TCP
1734275115.070342,66,TCP
1734275115.070357,7306,DATA
1734275115.070374,66,TCP
1734275115.072271,7306,DATA
1734275115.07325,66,TCP
1734275115.07325,66,TCP
1734275115.074266,7306,DATA
1734275115.075617,1514,DATA
1734275115.075571,66,TCP
1734275115.076003,7306,DATA
1734275115.076329,66,TCP
1734275115.07753,7306,DATA
1734275115.078315,66,TCP
1734275115.079364,7306,DATA
1734275115.079404,66,TCP
1734275115.079404,66,TCP
1734275115.081362,7306,DATA
1734275115.081369,66,TCP
1734275115.082327,66,TCP
